alumni_id,student_id,current_employer_id,current_title,years_experience,career_stage,skills_primary,skills_secondary,certifications,achievements,mentoring_interest,volunteering_interest,is_active_member,last_engagement_date,profile_visibility,preferred_contact_method,preferred_time_zone,portfolio_url,github_url,created_at
cfcc5cc2-0950-49fb-a333-3a10ad546fbc,2758bec7-dbb0-4bc7-ae51-7bcc277e4245,9e0ca77a-1ab9-4428-9f74-204eedafc791,Software Engineer,0.5,Early,"Python, SQL, Statistics","ML, DL, MLOps",AWS CCP,Hackathon Winner,0,0,1,2024-09-07,Private,Email,America/New_York,https://portfolio.example.com/alawrence.1,https://github.com/alawrence,2025-10-25T04:47:46
19145ffb-90db-4de2-b88b-6aa09502df12,6df422da-605e-4c36-a4cd-8a35296dc0cc,ae5118e5-b5ae-4bc9-8054-4a77e7445b8f,Business Analyst,0.9,Early,"Java, Algorithms, DS","ML, DL, MLOps",Security+,,0,0,1,,Public,Phone,America/Los_Angeles,https://portfolio.example.com/jcordova.2,https://github.com/jcordova,2025-10-25T04:47:46
f288b037-81f4-469d-87a5-f9a192d36494,609aa29d-d888-47b1-8f96-8adebf1fde23,b062f236-057d-4e89-8edf-96514890982c,QA Engineer,0.9,Early,"Python, SQL, Statistics","Communication, Teamwork",None,Published Paper,1,0,1,,Public,Email,America/Chicago,https://portfolio.example.com/jwilliams.3,https://github.com/jwilliams,2025-10-25T04:47:46
0159d5e1-f6cd-4d9a-b2a6-042ea58a8998,9349212b-778c-4359-8b78-b6c9d36554c3,,,0.0,Early,"Java, Algorithms, DS","Spark, Hadoop, PySpark",Azure Fundamentals,Hackathon Winner,1,1,1,2023-12-25,Private,Email,America/Chicago,https://portfolio.example.com/shunter.4,https://github.com/shunter,2025-10-25T04:47:46
f9800ad8-950c-45b6-afbd-6392a3ba5b64,ea3a3212-2016-4418-8d70-5b3438b49015,,,0.0,Early,"ETL, Databases, Cloud","Communication, Teamwork",AWS CCP,Dean's List,0,1,0,2025-01-14,Private,Phone,America/Chicago,https://portfolio.example.com/jwade.5,https://github.com/jwade,2025-10-25T04:47:46
c387d5a9-de6e-45a2-9303-f8d21a413268,522fe46c-6cc7-447c-b079-00ac30e7588b,,,0.0,Early,"Python, SQL, Statistics","Spark, Hadoop, PySpark",AWS CCP,Volunteer Lead,1,1,1,,Private,Phone,America/New_York,https://portfolio.example.com/laguilar.6,https://github.com/laguilar,2025-10-25T04:47:46
74b52349-1af6-4b51-9e97-f8e6b71ec5d3,e6d730fc-5171-43c5-994f-c5245030219a,,,0.0,Early,"ETL, Databases, Cloud","Spark, Hadoop, PySpark",None,Published Paper,1,1,0,,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/tclark.7,https://github.com/tclark,2025-10-25T04:47:46
3f44265d-cb1d-4c0d-a3b6-4c0289ba2e93,3752884b-04f7-4122-8e54-39f41f8598e8,,,0.0,Early,"Network Sec, Splunk, IAM","AWS, Azure, GCP",PMP,Dean's List,0,0,0,,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/sreed.8,https://github.com/sreed,2025-10-25T04:47:46
08cc41fc-fe32-4c10-875b-f331a86f8bae,8389a39d-3d33-472d-b4fb-30d6a7b46511,,,0.0,Early,"Python, SQL, Statistics","Communication, Teamwork",None,Hackathon Winner,1,0,1,,Public,Phone,America/Los_Angeles,https://portfolio.example.com/asandoval.9,https://github.com/asandoval,2025-10-25T04:47:46
5d62c0c1-a782-41b0-b236-c68a48461b7d,9ce1771a-eee4-4a51-bdad-b85e0799e429,ee9bfccf-12c8-42f2-9a72-79411af54a5b,Security Analyst,0.7,Early,"Java, Algorithms, DS","ML, DL, MLOps",Azure Fundamentals,Hackathon Winner,0,1,0,,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/rgood.10,https://github.com/rgood,2025-10-25T04:47:46
7e8d1a44-3411-4cca-b92f-66c8ac3a9f95,cddef181-27d8-4cc1-8733-a231ebdd574d,afc5bb7d-f0a0-4070-a7f2-3ab08fa1dbb0,Software Engineer,0.1,Early,"Java, Algorithms, DS","AWS, Azure, GCP",AWS CCP,Volunteer Lead,1,0,1,,Private,Phone,America/Chicago,https://portfolio.example.com/vmann.11,https://github.com/vmann,2025-10-25T04:47:46
991251a0-284e-45cf-b77f-08406e7c8d37,b175b934-d744-45c1-9a17-2e5044ae7c82,,,0.0,Early,"Power BI, Excel, Storytelling","DAX, Modeling, Dashboards",None,Hackathon Winner,1,1,0,,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/jbridges.12,https://github.com/jbridges,2025-10-25T04:47:46
573b220f-a7b7-4256-a22d-243e31049492,c0d141cb-af8d-4dcf-b64b-fbfd511cf30a,14d8d61b-ca15-4406-9b9e-feff1eeb310c,QA Engineer,0.4,Early,"Network Sec, Splunk, IAM","ML, DL, MLOps",None,Volunteer Lead,1,0,1,,Private,Email,America/Chicago,https://portfolio.example.com/kgarcia.13,https://github.com/kgarcia,2025-10-25T04:47:46
18336d63-a46a-4c84-847f-590e1fc5684b,c8582c26-5f42-4db2-9020-4d4c5a50dfc7,da1aa83d-af9f-4c55-bbb2-db7108c0136f,Data Analyst,0.7,Early,"Power BI, Excel, Storytelling","SIEM, SOC",PMP,Volunteer Lead,1,0,0,,SLU-only,Phone,America/Chicago,https://portfolio.example.com/efreeman.14,https://github.com/efreeman,2025-10-25T04:47:46
5d14f92d-1fa9-485f-9a5b-af3ba6b6f3e3,086519fc-bdb3-49a7-8d29-8e1b1db41c3a,4c129f14-636b-4801-bd11-b39c84b04139,Business Analyst,0.1,Early,"Java, Algorithms, DS","SIEM, SOC",Azure Fundamentals,Dean's List,0,0,1,,Public,Phone,America/Chicago,https://portfolio.example.com/jmejia.15,https://github.com/jmejia,2025-10-25T04:47:46
0ce720d7-a142-4d80-86db-a4afb7524c21,03c691d2-c4b4-4e7e-b34d-a8bb0ae9e476,9d0b36e7-f570-4f25-a849-b8bc8bb2bb4f,Software Engineer,0.5,Early,"ETL, Databases, Cloud","AWS, Azure, GCP",Security+,Hackathon Winner,0,1,0,2024-03-08,Public,Email,America/New_York,https://portfolio.example.com/tsanchez.16,https://github.com/tsanchez,2025-10-25T04:47:46
a6bd349b-fb8b-4ff1-8f15-abf01ad12be2,c3448ff8-47d7-43b0-be27-bbf3696631de,19bd1700-4417-4a11-ad77-f6703ab9b6fd,Business Analyst,0.5,Early,"Java, Algorithms, DS","DAX, Modeling, Dashboards",AWS CCP,,1,1,0,,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/janderson.17,https://github.com/janderson,2025-10-25T04:47:46
0ab6de16-06ac-4579-982a-2717a817a99b,1fa5c9ad-7909-4ae8-9a36-46eb4d24ae90,,,0.0,Early,"Git, CI/CD, Microservices","AWS, Azure, GCP",Security+,,0,0,1,2025-01-26,SLU-only,Phone,America/Chicago,https://portfolio.example.com/jross.18,https://github.com/jross,2025-10-25T04:47:46
