engagement_id,alumni_id,employer_id,event_id,engagement_type,engagement_subtype,engagement_date,points_awarded,hours_contributed,monetary_value_usd,channel,satisfaction_rating,remarks,evidence_url,created_by_user,created_at,status,follow_up_required,follow_up_date,privacy_level
a24d6d5c-b0ff-4e0f-a341-8859a01bda3c,53c1f717-2cd1-456f-a5a0-beba056b8746,,22f94359-71f5-4ce7-8ce7-a97cf73fa8cc,Mentorship,Career Mentoring,2025-09-02,10,4.4,,Handshake,3.93,,,seed_bot,2025-10-25 04:48:41,Completed,0,,Restricted
e7d91a7a-4818-4322-8897-a2ce5debb96a,56b89329-ea3f-4a21-9e15-e6cdf8240900,64e2b643-87ae-4a2d-a3f6-b1aafbdc4bb7,8178dc22-2a6b-4354-af1c-2c8266f3a521,Sponsorship,Event Sponsor,2025-06-09,15,,4308.12,Handshake,4.94,,,seed_bot,2025-10-25 04:48:41,Completed,0,,Restricted
d7f60989-3216-4eb5-b9b5-77dab8428ce4,0c00a9ab-d4f5-4637-95d7-d6a008493387,,,Workshop,Hands-on Session,2025-08-09,10,2.03,,LinkedIn,,,https://evidence.example.com/eng/3,seed_bot,2025-10-25 04:48:41,Cancelled,0,,Internal
f9a08716-521f-48bd-b870-f03072846e34,f2da2c1c-8cd4-4752-867d-5619c5afbb32,bf86b6a7-8fdc-4cac-b53a-378d08d52e15,,Talk,Guest Talk,2024-06-10,8,2.1,,Email,4.73,,,seed_bot,2025-10-25 04:48:41,Completed,0,,Public
9ef94b4e-e347-4344-8078-6c7338d31846,c2be9b4a-14a1-48eb-95db-0ff2b9ab0172,,ceb8b165-ed81-45c5-98a7-57e5ebaa0518,Mentorship,Career Mentoring,2026-03-03,10,3.07,,LinkedIn,3.57,,,seed_bot,2025-10-25 04:48:41,Completed,1,2026-03-10,Internal
85d62c03-f801-4273-a8e3-cd3f8aede47a,e3fa3b1c-47dc-44f6-b5ec-637322f32c56,533487b9-5c14-4ee0-a518-e71142e1ef77,3358cefc-f719-44c9-a8d6-7d7fc4736b7e,Talk,Guest Talk,2025-09-13,8,2.68,,LinkedIn,4.98,,https://evidence.example.com/eng/6,seed_bot,2025-10-25 04:48:41,Completed,0,,Public
ca1b34e8-9c6b-4fe0-b120-827ed1a6cda1,fc278b77-e591-4e77-a80e-aefae90667c9,,69f794fc-7007-4c61-b8b9-fb65c38489e2,Job Post,Full-time Role,2026-01-04,6,,,Handshake,,,,seed_bot,2025-10-25 04:48:41,Cancelled,0,,Internal
c0189f2f-2c56-49ee-a7a6-82dbf280e8f2,390e111f-680c-4b84-8647-491a661b976a,00b2a377-178a-4178-9fb8-7084975dac0b,,Workshop,Hands-on Session,2024-01-13,10,4.27,,Email,4.11,,,seed_bot,2025-10-25 04:48:41,Completed,0,,Internal
09bb931e-f050-42e6-b1f5-93c44da7c093,5b7ff520-d258-4b43-a47e-764d48f6d7b3,,,Sponsorship,Event Sponsor,2025-10-15,15,,768.94,In-person,4.34,,https://evidence.example.com/eng/9,seed_bot,2025-10-25 04:48:41,Completed,0,,Internal
59e1a5eb-a94e-42c2-839f-f2b7d7098365,1e438567-ddea-4e7d-a29a-89bedba6fb0e,7ce41b34-58fa-499f-8426-e6af90856f4f,b8e26091-e839-44b0-bde1-7456a75a1857,Volunteering,Community Service,2026-04-06,12,5.12,,LinkedIn,3.92,,,seed_bot,2025-10-25 04:48:41,Completed,1,2026-04-13,Restricted
