event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
de19592f-c9c2-424c-9232-7c17346efcba,Webinar 0001 • Cloud & DevOps Pathways,Webinar,Cloud & DevOps Pathways,Join us for webinar on cloud & devops pathways.,2025-11-28 18:00:00,2025-11-28 21:00:00,America/New_York,Virtual,Virtual Stage,Online,,USA,School of Science & Engineering,sse-events@slu.edu,380,1,111,111,3.97
7d2bca88-f110-4e86-bca2-8bd407b9f670,Workshop 0002 • Cybersecurity Trends 2025,Workshop,Cybersecurity Trends 2025,Join us for workshop on cybersecurity trends 2025.,2025-08-11 18:00:00,2025-08-11 20:00:00,America/New_York,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,131,1,131,131,3.62
32f7afc0-4a58-41b3-bcb0-2c20c3a4831c,Meetup 0003 • Product & Project Management,Meetup,Product & Project Management,Join us for meetup on product & project management.,2025-07-29 10:00:00,2025-07-29 12:00:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,104,1,104,104,
8aa304f5-2f07-471d-8eae-54bb26e30910,Guest Lecture 0004 • Consulting Case Prep,Guest Lecture,Consulting Case Prep,Join us for guest lecture on consulting case prep.,2026-02-15 10:00:00,2026-02-15 14:00:00,America/Los_Angeles,Virtual,Virtual Stage,Online,,USA,Alumni Office,alumni@slu.edu,151,1,151,151,3.81
3bf53f32-803b-4e47-a587-d4c4825944da,Career Fair 0005 • Resume & Interview Mastery,Career Fair,Resume & Interview Mastery,Join us for career fair on resume & interview mastery.,2025-08-27 14:00:00,2025-08-27 18:00:00,America/Los_Angeles,Virtual,Alumni Center,Boston,MA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,789,0,564,121,3.77
e11db0c9-ae95-41dc-8080-67f8d9bd7ac3,Webinar 0006 • Networking Night,Webinar,Networking Night,Join us for webinar on networking night.,2025-10-16 14:00:00,2025-10-16 17:00:00,America/New_York,In-person,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,310,1,238,238,3.8
6bfecbf7-17cb-4b36-b5ba-ffb0ac046d7f,Workshop 0007 • Employer Spotlight,Workshop,Employer Spotlight,Join us for workshop on employer spotlight.,2026-02-17 18:00:00,2026-02-17 21:00:00,America/Los_Angeles,In-person,Career Services Hall,Chicago,IL,USA,Data Science Institute,dsi@slu.edu,113,1,113,113,
2bca109f-fffd-4640-8e92-dfe48b9db1be,Meetup 0008 • AI & Data Analytics Careers,Meetup,AI & Data Analytics Careers,Join us for meetup on ai & data analytics careers.,2025-06-23 18:00:00,2025-06-23 20:00:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,141,0,141,141,4.67
397ebe2a-b557-486d-a61b-e84491b29d13,Guest Lecture 0009 • Cloud & DevOps Pathways,Guest Lecture,Cloud & DevOps Pathways,Join us for guest lecture on cloud & devops pathways.,2025-06-06 14:00:00,2025-06-06 15:00:00,America/New_York,In-person,Global Webinar Room,Online,,USA,Data Science Institute,dsi@slu.edu,209,1,209,209,3.73
863c8509-2fc9-42b4-a831-b7e42b3026a8,Career Fair 0010 • Cybersecurity Trends 2025,Career Fair,Cybersecurity Trends 2025,Join us for career fair on cybersecurity trends 2025.,2026-03-17 10:00:00,2026-03-17 13:00:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,741,0,150,150,3.81
