job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,bonus_target_pct,visa_type,source_channel,created_at
2fd9c1b3-09e3-4410-b44a-5223c83fb49d,9378e735-2832-4293-b24b-6943f4d5f935,67a1de16-2e27-49c8-861e-a4b710bf88e2,Security Analyst,Analytics,Mid,Full-time,Remote,Chicago,IL,USA,2025-03-31,2025-04-01,2025-04-21,,USD,86911.0,15.84,None,Handshake,2025-10-25T04:47:45
69c19b90-49b2-4c86-84d5-9c2f9912f588,7f17df2d-385b-436f-ab0b-426abdc4cb7b,cb84fd4f-f2b3-46d7-a9aa-d61d97c772ad,Software Engineer,Engineering,Intern,Internship,Remote,New York,NY,USA,2024-11-25,2024-12-02,2024-12-17,,USD,113044.0,7.34,None,Career Fair,2025-10-25T04:47:45
87f48c29-ccdd-4354-982d-9359c522aadc,1c50c451-4000-41ef-aaa6-25de47047651,c98904a5-0f9b-4ac5-a9fc-9a0953b2f2ba,Business Analyst,Quality,Junior,Full-time,Hybrid,San Jose,CA,USA,2024-10-25,2024-10-30,2024-11-18,,USD,109949.0,19.68,OPT,LinkedIn,2025-10-25T04:47:45
a2bf0798-dc88-472d-90cf-3700115836d5,84bcc218-ce8e-42c5-97f3-ce25768caa1e,1db65114-8a32-427a-9f24-2b98dc31f01c,Data Analyst,Quality,Senior,Full-time,Hybrid,St. Louis,MO,USA,2025-01-16,2025-01-20,2025-02-08,,USD,111469.0,14.31,None,Referral,2025-10-25T04:47:45
c8dec9ef-c6d2-41c4-97f9-5cd720a9060a,7d9404a5-9853-4d23-84f5-c8126b2f376f,a46c958c-d07c-49f1-ad36-dfe718d5a31d,Data Engineer,Consulting,Senior,Internship,On-site,Austin,TX,USA,2025-05-25,2025-05-26,2025-06-20,,USD,83844.0,7.97,STEM OPT,Handshake,2025-10-25T04:47:45
16c975f3-85d8-4efe-b1f7-fc430fdadaf5,845bcc76-d7ff-4d79-bc48-9110bcb95b16,04c0b184-b701-4d32-8c2c-6728ad612ad3,Software Engineer,Engineering,Senior,Internship,Remote,San Jose,CA,USA,2025-01-26,2025-01-27,2025-01-28,,USD,106377.0,1.96,OPT,Handshake,2025-10-25T04:47:45
faabce3b-f146-41f5-92c7-c28cfa7f7996,a7e41ad7-3f69-4e4a-a583-67537685fa09,3c11ccbc-736d-4603-b493-9e8063502a4d,Associate Consultant,Security,Mid,Internship,Hybrid,St. Louis,MO,USA,2025-06-30,2025-07-03,2025-07-12,,USD,92060.0,19.46,OPT,Handshake,2025-10-25T04:47:45
b682f7b6-140a-4ec0-a48d-1eb70272a050,f0f04977-cced-4a85-99c8-262f177862ad,0df69f9b-20e9-451f-9307-8388bc99f7aa,Business Analyst,Consulting,Senior,Internship,Remote,St. Louis,MO,USA,2025-06-15,2025-06-21,2025-06-21,,USD,84123.0,14.3,None,LinkedIn,2025-10-25T04:47:45
83806979-29d8-4862-97cd-d891410f07d6,739a0faa-2480-4192-bfd7-bd04d25fc514,6a0a4007-3d43-4b93-a163-dda1a927235b,QA Engineer,Security,Mid,Internship,Remote,St. Louis,MO,USA,2024-10-11,2024-10-11,2024-11-15,,USD,87051.0,4.28,STEM OPT,Direct Apply,2025-10-25T04:47:45
051cbdbc-f4ea-4f3c-8106-3a318a8c4db3,c6c55c2d-9350-4d70-b1d1-ec0e777dedf3,e105bca8-f4d0-41f2-aabd-f5c43a986589,Security Analyst,Analytics,Intern,Contract,On-site,Seattle,WA,USA,2025-06-19,2025-06-24,2025-07-20,,USD,65675.0,16.32,None,LinkedIn,2025-10-25T04:47:45
01c613bf-5765-4709-a5f9-8812ebbeb1ae,836caa1f-bdf9-451e-8c6a-6921e46207ce,d55a1b61-f58f-438e-8513-58602cdf0b8b,Security Analyst,Consulting,Intern,Full-time,On-site,San Jose,CA,USA,2024-10-22,2024-10-24,2024-11-29,,USD,83200.0,19.73,OPT,Career Fair,2025-10-25T04:47:45
e768a731-34c7-4485-8854-a8c2e120552c,736ba34c-89cb-4cf1-b4d9-cef9ff83756e,15999f89-52c4-4c53-9ee2-fcbb481a6e78,Security Analyst,Quality,Junior,Internship,Remote,Dallas,TX,USA,2024-11-18,2024-11-21,2024-12-25,,USD,111784.0,0.51,None,Career Fair,2025-10-25T04:47:45
a792edc6-7ff6-4726-b485-52a448672ad1,2b385fad-9c15-4a5b-966e-beda108d7356,b4ec099f-e8f0-4ac2-9708-8998d9e53f75,Data Analyst,Consulting,Junior,Internship,Remote,Hyderabad,,India,2025-05-27,2025-05-28,2025-06-27,,USD,88987.0,0.83,STEM OPT,Direct Apply,2025-10-25T04:47:45
dc30f5ee-fabf-4411-8693-1ab094a2636c,6df422da-605e-4c36-a4cd-8a35296dc0cc,ae5118e5-b5ae-4bc9-8054-4a77e7445b8f,Business Analyst,Engineering,Senior,Full-time,Remote,Austin,TX,USA,2024-11-16,2024-11-17,2024-11-23,2025-03-31,USD,102659.0,11.48,STEM OPT,Direct Apply,2025-10-25T04:47:45
66c51c07-7d14-451f-b570-4b047166200d,d11f5d37-fd59-47a3-a54a-8b355bb5b9a1,4fd5a93b-3487-4cd6-8b68-d167b1664b4b,Data Analyst,Security,Senior,Full-time,Remote,San Jose,CA,USA,2025-03-27,2025-03-30,2025-05-02,,USD,90479.0,4.32,STEM OPT,Referral,2025-10-25T04:47:45
cbb3aac1-c22a-41e8-b428-c0aeb1aa110f,36de5183-3b1e-48bf-a534-42e3f69d2237,fb8ccbc8-5162-473f-bf3e-6bc0860e3260,Data Analyst,Analytics,Intern,Internship,On-site,New York,NY,USA,2025-08-10,2025-08-11,2025-08-17,,USD,111895.0,0.7,None,LinkedIn,2025-10-25T04:47:45
532186e4-f0d4-4f02-a4f2-9793e432d4e0,3b6c036b-91f6-4bce-8306-957b883c06ab,40093c53-cd85-4f30-a56c-e4019887435b,Data Analyst,Analytics,Junior,Full-time,Remote,San Jose,CA,USA,2025-10-12,2025-10-13,2025-10-15,2026-02-24,USD,84948.0,9.46,OPT,Referral,2025-10-25T04:47:45
9fb172d6-df78-4a0b-ac22-943887e7ccd4,aa746a3c-5544-489f-b9d9-f54fc6765678,96c7074d-9408-4500-8cc7-b6ccbd9ad30a,QA Engineer,Consulting,Mid,Contract,On-site,Austin,TX,USA,2025-07-14,2025-07-18,2025-07-24,,USD,97408.0,18.2,OPT,Handshake,2025-10-25T04:47:45
2bc3f89c-d4b4-4713-8d89-1856ad3fc703,87d525e5-942f-45c4-a11f-461c55bedf96,faf03560-dbf6-47eb-ae31-bc79bd2a5976,QA Engineer,Quality,Intern,Contract,Hybrid,San Jose,CA,USA,2025-06-19,2025-06-21,2025-07-15,,USD,80646.0,2.32,None,Direct Apply,2025-10-25T04:47:45
d84dca52-51aa-4d7c-a12e-07760d30e38c,ef06520e-3949-4858-bd62-2597eb5a70ea,085dbe8f-de6b-41aa-9950-9a73dac3913d,Data Analyst,Security,Senior,Contract,On-site,Hyderabad,,India,2025-04-02,2025-04-06,2025-05-05,,USD,81105.0,8.49,STEM OPT,Career Fair,2025-10-25T04:47:45
acc6ad1f-351d-4814-81cf-6281f386bd38,8f4ad8a4-c2d7-4d64-b7ae-46c1036f3bf9,3ac60f34-bd61-4002-b16c-ab5051709fef,Data Engineer,Consulting,Junior,Contract,Hybrid,Hyderabad,,India,2025-01-14,2025-01-15,2025-01-23,,USD,114948.0,6.36,STEM OPT,Referral,2025-10-25T04:47:45
1ef0085c-4b01-460a-82d7-2c600ef7eb79,ba9d084f-7bac-4536-8097-4a9386e31d2e,a8d342f2-f106-4e4f-bcc1-cb8c7a2c44ed,QA Engineer,Consulting,Intern,Internship,Remote,Austin,TX,USA,2024-11-12,2024-11-12,2024-12-12,,USD,77697.0,5.32,None,Career Fair,2025-10-25T04:47:45
cdb3054e-f335-415e-98c3-cccd8e6d812c,d7007380-e0a8-4cc8-8b62-450a4b1246bf,48d91f3e-d9dd-4cd7-8aeb-b772a1a35d19,Business Analyst,Engineering,Senior,Contract,Hybrid,Hyderabad,,India,2024-11-08,2024-11-12,2024-12-04,,USD,87713.0,10.94,OPT,Direct Apply,2025-10-25T04:47:45
ef5f1e1e-9e44-43b2-a725-fac2363e0fff,074ad464-e465-4b07-b8a0-9aad2326ff02,9ddc3c52-4c60-4cef-abfa-dd4c09c440d9,QA Engineer,Engineering,Junior,Full-time,Remote,Hyderabad,,India,2025-07-01,2025-07-03,2025-07-21,2026-03-11,USD,104304.0,2.93,OPT,Handshake,2025-10-25T04:47:45
577d2d37-aa80-48f3-914b-fd2ee924d583,32886e2a-8800-4cae-8bf2-5838f2b3f984,a994c02c-f891-4bf3-a7e1-61937ee2e5b8,Data Engineer,Security,Intern,Contract,On-site,New York,NY,USA,2025-08-28,2025-09-02,2025-09-25,2026-07-06,USD,130883.0,1.24,OPT,Handshake,2025-10-25T04:47:45
acd9efcc-6304-473d-ba80-e01d3ef1ef0d,af7ea8cc-471e-4a5c-9eb2-e1dda142f4b8,4974ecbe-904f-4355-b4ae-bee882d1a13a,Associate Consultant,Analytics,Intern,Internship,On-site,New York,NY,USA,2024-11-06,2024-11-11,2024-12-06,2025-04-05,USD,101159.0,2.87,OPT,Direct Apply,2025-10-25T04:47:45
28cd8f1b-7d27-46bf-ac98-48e0a9403dd9,d12ef855-f22d-47e8-b5fc-3df0949c74fe,5e0a4b0c-7b24-47f9-b71a-dda6c29463d5,Software Engineer,Analytics,Intern,Full-time,Hybrid,Chicago,IL,USA,2025-05-06,2025-05-11,2025-05-23,,USD,75602.0,5.54,OPT,Direct Apply,2025-10-25T04:47:45
80571e58-d3eb-4f34-9c7e-06096dc68d4c,998ac2c7-76a5-4035-bb75-6f5e78a34cc7,4a0fbad9-b4ed-4ab6-a704-e55d2aa0ed8d,Software Engineer,Analytics,Senior,Contract,On-site,Hyderabad,,India,2025-09-01,2025-09-03,2025-10-11,,USD,91040.0,9.42,None,Direct Apply,2025-10-25T04:47:45
